conf,size,kind,ctx,n,react_1,min_per,held24,far|0.5atr,far|1atr,far|gap,ce|0.5atr,ce|1atr,ext|1atr,ext|2R,ext-0.25atr|1atr,best_exit,best_exit_minEV,best_exit_EV
A,1.0,оба,заход<50%,213,60.093896713615024,57.14285714285714,66.19718309859155,0.011647394232599213,-0.050009088823003416,-0.02451069596778031,0.025049016988282425,-0.04280288951621338,-0.24221539033227413,-0.2388658666903371,-0.09236994486045151,ce|0.5atr,-0.03714902460607905,0.025049016988282425
A,1.0,оба,объём≥1.5x,211,58.767772511848335,56.25,65.40284360189574,-0.00292361267933904,-0.07963512072461125,-0.0570373566964789,-0.0005670296807315828,-0.09204645554759364,-0.2645488633611113,-0.21939680210713908,-0.13472805296090234,far|0.5atr,-0.06674622422701355,-0.00292361267933904
A,1.0,оба,сессия Asia,65,61.53846153846154,51.515151515151516,61.53846153846154,-0.0034301617897957363,-0.001053177130436682,-0.028794396366219506,0.07437011071222334,0.05520645771985735,-0.2809069095454325,-0.5340803492753335,-0.2151599766847184,ce|1atr,-0.08477694375067528,0.05520645771985735
A,1.0,оба,сессия NY,78,56.41025641025641,48.148148148148145,70.51282051282051,0.010570810241513908,-0.12786573877880802,-0.037062285902581905,-0.0032268550321008674,-0.17031340830710212,-0.23487815347704333,-0.001329640738887442,-0.09896126987981817,ce|0.5atr,-0.032120113299607816,-0.0032268550321008674
A,1.0,bull,—,130,58.46153846153847,47.22222222222222,61.53846153846154,0.004079987023015168,-0.07734634958725757,-0.017900063092633162,-0.0008845180404505958,-0.08598773261832812,-0.06895950574517418,-0.3391455714266689,-0.03756667507699015,ce|0.5atr,-0.08389120616887638,-0.0008845180404505958
A,1.0,bull,тренд,125,58.4,45.714285714285715,60.8,0.00216206656641309,-0.08087906012892747,-0.0239626765422015,0.013285659990255062,-0.06667893468001294,-0.022084161121476032,-0.3030776694302306,0.00484232626896034,ce|0.5atr,-0.09561361438010428,0.013285659990255062
A,1.0,bull,EMA200,102,64.70588235294117,51.85185185185185,63.725490196078425,0.05389893385264404,0.018543300491231797,0.06915569017043145,0.052711809398809914,-0.00018492129321282677,0.1785954576342024,-0.28851257860219537,0.07578402942053235,far|0.5atr,0.01865655390087355,0.05389893385264404
A,1.0,bull,свежий≤24ч,93,63.44086021505376,47.82608695652174,67.74193548387096,0.07229985999879097,0.005961178782040981,0.07461611020556519,0.13609211666561596,0.06574676418521144,0.10564052395618329,-0.3505916376704591,0.08261585760451658,ce|0.5atr,0.048933425992518285,0.13609211666561596
A,1.0,bull,не выходные,112,53.57142857142857,43.75,58.92857142857143,-0.04442006191879936,-0.16183839981284137,-0.10742673341246747,-0.061291208306274846,-0.1616962660924215,-0.06287301911643538,-0.3236998251488704,-0.12224438449356494,ce|0.5atr,-0.12898474516388142,-0.061291208306274846
A,1.0,bull,заход<50%,117,59.82905982905983,50.0,62.39316239316239,-0.004790204149962141,-0.05565125327065954,0.0016399931724349211,-0.0014105307520105698,-0.04725354925373167,-0.03838560872393337,-0.360530541331541,-0.014356549529082456,ce|0.5atr,-0.07655758640254072,-0.0014105307520105698
A,1.0,bull,объём≥1.5x,116,56.896551724137936,50.0,60.3448275862069,-0.01254084526574765,-0.11136611875341997,-0.062353702217422494,-0.02089299129090611,-0.13169016510952422,-0.06561599773485695,-0.28678735493721597,-0.08565980507948676,ce|0.5atr,-0.1446587227439245,-0.02089299129090611
A,1.0,bear,—,100,60.0,47.05882352941176,70.0,0.026956378360428995,-0.054385409299874024,-0.060960065088450616,0.039281790727679816,-0.04451905199362468,-0.48150745385712845,-0.09934615088841756,-0.19170463805439664,far|0.5atr,-0.001571827361822489,0.026956378360428995
A,1.0,bear,тренд,88,60.22727272727273,50.0,71.5909090909091,0.03060882966740759,-0.06039163391623257,-0.08130784164427197,0.054087278727863654,-0.02101791449379534,-0.426402827895655,-0.03017451817210226,-0.166160385767468,far|0.5atr,-0.005391045420996877,0.03060882966740759
A,1.0,bear,EMA200,71,57.74647887323944,50.0,71.83098591549296,0.02634854324369163,-0.09820003828062869,-0.10064945979631716,0.028044348409090442,-0.04501746496294113,-0.36698887120366946,-0.04857956668510111,-0.12723174419434827,far|0.5atr,-0.007509424302588823,0.02634854324369163
A,1.0,bear,свежий≤24ч,68,60.29411764705882,53.84615384615385,70.58823529411765,-0.003566469567514986,-0.04953747515054069,-0.08833000593460838,0.03510471758118068,0.022358040319693632,-0.45253931986283386,-0.037785309958775534,-0.12002544162486514,ce|0.5atr,0.022845385151161336,0.03510471758118068
A,1.0,bear,не выходные,82,56.09756097560976,35.714285714285715,67.07317073170732,-0.010714846507526897,-0.11068513317129465,-0.12804550796426153,-0.04283600069048167,-0.126940219973112,-0.4866121984257812,-0.14511349171047405,-0.2679212161644611,far|0.5atr,-0.04982037655888032,-0.010714846507526897
A,1.0,bear,заход<50%,96,60.416666666666664,47.05882352941176,70.83333333333334,0.03168071726134587,-0.043132700902422515,-0.0563818483574176,0.05729659079676449,-0.03737864796111292,-0.4906329366674395,-0.09058704447136988,-0.18744877042055755,far|0.5atr,0.01683709836648568,0.03168071726134587
A,1.0,bear,объём≥1.5x,95,61.05263157894737,46.666666666666664,71.57894736842105,0.008819534478801985,-0.04088990207890796,-0.050545819007747766,0.02425203923274465,-0.04363939966144675,-0.5074563624415902,-0.13710939023041363,-0.19464296616347296,ce|0.5atr,-0.00599420080186248,0.02425203923274465
A,1.5,оба,—,85,62.35294117647059,57.14285714285714,70.58823529411765,-0.015349620104338393,-0.1000760270267732,-0.11091823064568992,0.03234323594999636,-0.06534455280434773,0.018973875658301907,-0.14080800713623762,-0.1885631033043305,ce|0.5atr,-0.08931031605703244,0.03234323594999636
A,1.5,оба,тренд,82,63.41463414634146,55.55555555555556,71.95121951219512,-0.010347589448519367,-0.08562687420948047,-0.10150239011685652,0.05188905615963719,-0.02937034046935714,0.06315840279253224,-0.1024691586408319,-0.1558632570822714,ce|0.5atr,-0.0814916016412699,0.05188905615963719
A,1.5,оба,EMA200,69,63.76811594202898,54.54545454545454,71.01449275362319,-0.03567511520283335,-0.08227935794495904,-0.0741045595870828,0.02557882935552309,-0.008367429319210836,0.19858759408801,-0.12763792497555418,-0.0904429182624295,far|0.5atr,-0.11571578373870123,-0.03567511520283335
A,1.5,оба,не выходные,71,56.33802816901409,47.61904761904761,64.7887323943662,-0.060855669679751416,-0.18774959510984182,-0.2017974798364523,-0.04012760155970773,-0.15861009878419247,0.13000993322877494,-0.19058218681243072,-0.2336797504596648,ce|0.5atr,-0.1328070705023509,-0.04012760155970773
A,1.5,оба,заход<50%,79,63.29113924050633,56.00000000000001,72.15189873417721,-6.661940888681875e-05,-0.08338983615662765,-0.10881971065596537,0.04489366970588416,-0.0554640908655484,0.03965360732145912,-0.14752327494080378,-0.18108036548398818,ce|0.5atr,-0.08882780545694328,0.04489366970588416
A,1.5,оба,объём≥1.5x,84,61.904761904761905,57.14285714285714,70.23809523809523,-0.0189025494277291,-0.10825325989932809,-0.12352389171342683,0.026193240232847817,-0.07966849612004569,0.031984410106538776,-0.12969963795936432,-0.20702301968686937,ce|0.5atr,-0.08931031605703244,0.026193240232847817
C,0.5,оба,—,343,48.39650145772595,45.57823129251701,49.56268221574344,-0.03962574947101612,-0.08357848711551595,-0.001758237278935679,-0.1539737802878947,-0.17112084575595402,-0.11278171621395779,-0.012457335036417489,-0.028534083385513224,far|gap,-0.042379697476738226,-0.001758237278935679
C,0.5,оба,тренд,300,47.333333333333336,44.61538461538462,48.66666666666667,-0.05479794684460153,-0.12049992692955759,-0.046508302032551976,-0.1341489586355974,-0.15206341076249233,-0.08815059072844159,-0.009515574184600742,-0.0622699520237127,far|0.5atr,-0.07905650983442336,-0.05479794684460153
C,0.5,оба,EMA200,236,49.152542372881356,44.761904761904766,52.54237288135594,-0.0028140776220290757,-0.08148650934013602,-0.0037545794582193445,-0.10822434523002679,-0.13041398559188944,-0.007357621088854789,-0.0009004025893026507,-0.030741495747280204,far|0.5atr,-0.034745306683826686,-0.0028140776220290757
