conf,size_min,depth_max,trend,kind,n,react_1,react_05,held24,win_1ATR,avgR_1ATR,avgR_2R,risk_med,rr_med
D ,0.3,0.25,True,bull,133,53.4,69.9,52.6,32.3,-0.164,-0.208,1.03,2.13
D ,0.3,0.25,True,bear,140,54.3,71.4,55.0,35.0,0.037,0.179,0.94,2.64
D ,0.3,0.5,False,оба,475,54.1,71.4,53.9,37.5,0.035,0.032,1.08,2.22
D ,0.3,0.5,False,bull,232,56.0,72.8,53.4,39.2,0.05,-0.056,1.08,2.07
D ,0.3,0.5,False,bear,243,52.3,70.0,54.3,35.8,0.021,0.116,1.05,2.35
D ,0.3,0.5,True,оба,393,54.2,71.8,53.9,37.7,-0.02,0.015,1.1,2.11
D ,0.3,0.5,True,bull,192,55.7,72.4,52.6,39.6,-0.033,-0.101,1.1,1.95
D ,0.3,0.5,True,bear,201,52.7,71.1,55.2,35.8,-0.008,0.125,1.08,2.3
D ,0.3,1.01,False,оба,584,52.6,70.2,52.1,38.5,0.004,0.001,1.18,2.0
D ,0.3,1.01,False,bull,293,55.3,72.4,53.6,41.3,0.036,-0.04,1.23,1.8
D ,0.3,1.01,False,bear,291,49.8,68.0,50.5,35.7,-0.029,0.043,1.11,2.14
D ,0.3,1.01,True,оба,484,53.5,71.3,52.7,39.5,-0.025,-0.003,1.19,1.91
D ,0.3,1.01,True,bull,244,56.1,73.0,53.3,42.6,-0.009,-0.072,1.27,1.69
D ,0.3,1.01,True,bear,240,50.8,69.6,52.1,36.2,-0.04,0.067,1.15,2.07
D ,0.5,0.25,False,оба,242,57.0,75.6,60.7,34.7,-0.041,0.027,1.05,2.31
D ,0.5,0.25,False,bull,114,58.8,77.2,61.4,35.1,-0.066,-0.154,1.05,2.12
D ,0.5,0.25,False,bear,128,55.5,74.2,60.2,34.4,-0.018,0.188,1.02,2.49
D ,0.5,0.25,True,оба,213,55.9,74.6,58.7,34.3,-0.108,0.002,1.05,2.25
D ,0.5,0.25,True,bull,101,57.4,76.2,58.4,34.7,-0.165,-0.177,1.05,2.05
D ,0.5,0.25,True,bear,112,54.5,73.2,58.9,33.9,-0.056,0.164,1.03,2.39
